feedback_text,source,timestamp,manual_category,predicted_category,sentiment,summary
Fonts overlap on smaller screens.,Twitter,2025-05-29 12:16:28,Bug,Compliment,NEGATIVE, Fonts overlap on smaller screens . Fonts overlink on small screens. Fonts overlapping on screens of smaller screens.
The share button crashes the app.,App Store,2025-05-23 12:16:28,Bug,Bug,NEGATIVE, The share button crashes the app . Share button crashes when you use the app's share button .
Please add biometric login support.,Web Form,2025-06-09 12:16:28,Complaint,Feature Request,POSITIVE, Please add biometric login support to your biometric logins . Use the weekly Newsquiz to test your knowledge of stories you need
It would be great to have a dark theme toggle.,Web Form,2025-05-19 12:16:28,Feature Request,Feature Request,POSITIVE, It would be great to have a dark theme toggle .
Add a filter for unread messages.,Web Form,2025-05-19 12:16:28,Feature Request,Feature Request,NEGATIVE, Add a filter for unread messages to your inbox . Use the weekly Newsquiz to test your knowledge of stories you saw on CNN
Can we get a desktop version too?,Google Play,2025-06-13 12:16:28,Feature Request,Feature Request,NEGATIVE," Can we get a desktop version too? It's possible, but it's not just a mobile phone app ."
Please include voice call functionality.,Web Form,2025-06-15 12:16:28,Feature Request,Feature Request,POSITIVE, Please include voice call functionality . Use the weekly Newsquiz to test your knowledge of stories you need to report to CNN iReport .
Option to customize the dashboard would be helpful.,App Store,2025-05-10 12:16:28,Feature Request,Feature Request,NEGATIVE, Option to customize the dashboard would be helpful. Option to custom-customerize the dashboard is needed to be customized .
An offline mode would be really useful.,Twitter,2025-04-21 12:16:28,Feature Request,Feature Request,NEGATIVE, An offline mode would be really useful for the first time . The offline mode is a great way to get around the world .
Need the ability to export data as CSV.,Web Form,2025-04-19 12:16:28,Feature Request,Feature Request,NEGATIVE, Need the ability to export data as CSV files . Need to use CSV files to import data from your data .
A widget for the home screen would be nice.,Google Play,2025-06-06 12:16:28,Feature Request,Feature Request,NEGATIVE, A widget for the home screen would be nice. A widget would also be nice for the app .
"Add multi-language support, especially Hindi and Spanish.",Twitter,2025-05-03 12:16:28,Feature Request,Feature Request,POSITIVE," Add multi-language support, especially Hindi and Spanish, to the list . Use the language of English, Hindi, Spanish and Hindi to"
Amazing app! It’s super easy to use.,App Store,2025-06-10 12:16:28,Compliment,Compliment,POSITIVE, Amazing app! It’s super easy to use. Amazing app . Amazing app. It was easy to download. It's super
I love the recent UI update.,Email,2025-04-28 12:16:28,Compliment,Compliment,POSITIVE, I love the recent UI update . I love to see the latest update to the latest version of the app .
Great customer service!,Email,2025-05-14 12:16:28,Compliment,Compliment,POSITIVE," ""Great customer service!"" says customer . Great customer service! Great customer experience!"
Very intuitive and fast — keep it up!,App Store,2025-06-08 12:16:28,Compliment,Compliment,POSITIVE," ""Very intuitive and fast — keep it up! Keep it up!"""
Hands down the best productivity app I’ve tried.,Email,2025-05-25 12:16:28,Compliment,Compliment,POSITIVE, Hands down the best productivity app I’ve tried .
Love how clean and simple the design is.,Web Form,2025-04-28 12:16:28,Compliment,Compliment,POSITIVE, Love how clean and simple the design is. Love how simple it is .
Thank you for listening to user feedback!,Web Form,2025-05-29 12:16:28,Compliment,Compliment,POSITIVE, Thank you for listening to user feedback! Please share your feedback with us on Twitter .
"Reliable and efficient, well done!",Web Form,2025-05-13 12:16:28,Compliment,Compliment,POSITIVE," Reliable and efficient, well done! Well done! Reliable, efficient, and well done ."
Works seamlessly across my devices.,Twitter,2025-05-21 12:16:28,Compliment,Compliment,POSITIVE, Worked seamlessly across my devices. Works seamlessly across many of the world's devices .
Beautiful interface and flawless performance.,Email,2025-05-29 12:16:28,Compliment,Compliment,POSITIVE, Beautiful interface and flawless performance. Beautiful interface . Beautiful interface with flawless performance .
"Good app, but could use some polish.",Google Play,2025-05-08 12:16:28,General Feedback,General Feedback,POSITIVE," Good app, but could use some polish ."
Overall nice experience with a few hiccups.,Email,2025-05-28 12:16:28,General Feedback,Compliment,POSITIVE, Overall nice experience with a few hiccups .
Hope you keep improving the update frequency.,Web Form,2025-04-26 12:16:28,General Feedback,Compliment,POSITIVE, Hope to keep improving the update frequency. Hope to continue to improve the quality of updates .
"Useful features, though there’s room for growth.",Twitter,2025-06-11 12:16:28,General Feedback,Compliment,POSITIVE," There's room for growth, but there’s room for room for improvement . The iPhone X is the first time a phone has"
App works okay for basic needs.,Twitter,2025-05-22 12:16:28,General Feedback,General Feedback,POSITIVE, App works okay for basic needs. App works fine for basic purposes . App works well for basic usage .
Can’t wait to see future enhancements.,Web Form,2025-05-14 12:16:28,General Feedback,Compliment,POSITIVE, Can’t wait to see future enhancements .
Decent app but has its flaws.,Email,2025-06-08 12:16:28,General Feedback,Complaint,NEGATIVE," Decent app but has its flaws. It's a good app, but has a lot of flaws ."
Thanks for building something this useful.,Web Form,2025-05-27 12:16:28,General Feedback,Compliment,POSITIVE, Thanks for building something this useful. Thanks for helping us build a useful website .
"Sometimes it’s slow, but mostly fine.",Web Form,2025-05-03 12:16:28,General Feedback,Compliment,POSITIVE," Sometimes it's slow, but mostly fine. Sometimes it’s slow, and mostly fine . Sometimes slow, sometimes fine, but"
"App does what it says, nothing more nothing less.",Web Form,2025-05-25 12:16:28,General Feedback,General Feedback,POSITIVE," App does what it says, nothing more nothing less ."
