feedback_text,manual_category,predicted_category,sentiment,urgency_score,confidence_score,timestamp,source
"Add multi-language support, especially Hindi and Spanish.",Feature Request,Feature Request,POSITIVE,0.922437846660614,0.325968874884655,03-05-2025 12:16,App
Amazing app! It’s super easy to use.,Compliment,Compliment,POSITIVE,0.5820783972740173,0.4149592825749693,10-06-2025 12:16,App
I love the recent UI update.,Compliment,Compliment,POSITIVE,0.6207131147384644,0.3211614346632435,28-04-2025 12:16,App
Great customer service!,Compliment,Compliment,POSITIVE,0.537785530090332,0.4310059523066729,14-05-2025 12:16,Email
Very intuitive and fast — keep it up!,Compliment,Compliment,POSITIVE,0.9451927542686462,0.4154320369427198,08-06-2025 12:16,App
Hands down the best productivity app I’ve tried.,Compliment,Compliment,POSITIVE,0.8105449080467224,0.3679731019035938,25-05-2025 12:16,App
Love how clean and simple the design is.,Compliment,Compliment,POSITIVE,0.0976695343852043,0.4202156295361522,28-04-2025 12:16,website
Thank you for listening to user feedback!,Compliment,Compliment,POSITIVE,0.5183089375495911,0.3879671171007361,29-05-2025 12:16,App
"Reliable and efficient, well done!",Compliment,Compliment,POSITIVE,0.2589185237884521,0.5218897224186819,13-05-2025 12:16,website
Works seamlessly across my devices.,Compliment,Compliment,POSITIVE,0.3516612946987152,0.2865004877208948,21-05-2025 12:16,App
Beautiful interface and flawless performance.,Compliment,Compliment,POSITIVE,0.6861740350723267,0.4423766676618809,29-05-2025 12:16,website
"Good app, but could use some polish.",General Feedback,General Feedback,POSITIVE,0.7180957794189453,0.3727974242942289,08-05-2025 12:16,Email
Overall nice experience with a few hiccups.,General Feedback,Compliment,POSITIVE,0.3767164647579193,0.3139734272915366,28-05-2025 12:16,website
Hope you keep improving the update frequency.,General Feedback,Compliment,POSITIVE,0.5807880759239197,0.2809910538833752,26-04-2025 12:16,App
"Useful features, though there’s room for growth.",General Feedback,Compliment,POSITIVE,0.4844501316547394,0.3881855499582877,11-06-2025 12:16,Email
App works okay for basic needs.,General Feedback,General Feedback,POSITIVE,0.0060445182025432,0.352743724931845,22-05-2025 12:16,Email
Can’t wait to see future enhancements.,General Feedback,Compliment,POSITIVE,0.4741378426551819,0.3441872842137052,14-05-2025 12:16,website
Decent app but has its flaws.,General Feedback,Complaint,NEGATIVE,0.4519406259059906,0.3330773805163232,08-06-2025 12:16,Email
Thanks for building something this useful.,General Feedback,Compliment,POSITIVE,0.6523364782333374,0.30786059234786,27-05-2025 12:16,website
"Sometimes it’s slow, but mostly fine.",General Feedback,Compliment,POSITIVE,0.030828058719635,0.330344466182614,03-05-2025 12:16,Email
"App does what it says, nothing more nothing less.",General Feedback,General Feedback,POSITIVE,0.3612326085567474,0.3305820415792513,25-05-2025 12:16,website
